TextBlob_Analysis Biden Inflation,TextBlob_Analysis Trump Inflation,TextBlob_Analysis Biden Immigration,TextBlob_Analysis Trump Immigration,variable,value
Positive,NA,Neutral,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Neutral,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Neutral,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Neutral,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Neutral,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Neutral,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Neutral,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Negative,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Positive,Polarity:  Trump Inflation,NA
Negative,NA,Positive,Positive,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,Negative,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,Positive,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Neutral,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Neutral,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Neutral,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Neutral,NA,NA,Positive,Polarity:  Trump Inflation,NA
Neutral,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Neutral,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Neutral,NA,NA,Positive,Polarity:  Trump Inflation,NA
Neutral,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Neutral,NA,NA,Positive,Polarity:  Trump Inflation,NA
Neutral,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Neutral,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Negative,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Negative,Polarity:  Trump Inflation,NA
Positive,NA,NA,Positive,Polarity:  Trump Inflation,NA
Neutral,NA,NA,Positive,Polarity:  Trump Inflation,NA
